Date,GDP,CPI,inflation,housing,federal_funds,bank_loan,employment_rate,unemployment_rate,consumer_confidence,bonds_price,mortgage_rates,public_debt,total_debt,debt,bonds_issued,IRS Tax,bonds_sentiment,economy_sentiment,housing_market_sentiment,taxes_sentiment,loans_sentiment,interest_rates_sentiment,recession_sentiment,unemployment_sentiment,inflation_sentiment
3/1/22,2.50E+13,283716,6.4,800000,0.2,3.37,60.1,3.6,59.4,,,,,,,,0.584778334,,0.706651276,0.676457537,0.900862166,0.501456899,0.172335015,0.541355238,
3/2/22,,,,,,,,,,460.9,,2.38E+13,3.03E+13,3.02E+13,,,0.566698323,,0.849652138,0.654129488,0.845382972,0.35449074,0.155972523,0.39321961,
3/3/22,,,,,,,,,,462.22,3.76,2.38E+13,3.02E+13,3.02E+13,,,0.581391593,,0.680140447,0.65941237,0.810151426,0.506376474,0.175050502,0.454475995,
3/4/22,,,,,,,,,,464.87,,2.38E+13,3.02E+13,3.03E+13,,,0.544414582,,0.617369273,0.659489935,0.827968694,0.452509433,0.12094317,0.566141892,
3/5/22,,,,,,,,,,,,,,,,,0.517236989,,0.657929823,0.568855596,0.83097712,0.44372584,0.184526175,0.485744811,
3/6/22,,,,,,,,,,,,,,,,,0.509254627,,0.768804429,0.569476357,0.908918582,0.404038223,0.136305161,0.367829083,
3/7/22,,,,,,,,,,463.6,,2.38E+13,3.03E+13,3.03E+13,,,0.45212074,,0.698894676,0.609996205,0.884855657,0.489942125,0.124629852,0.372800522,
3/8/22,,,,,,,,,,461.55,,2.38E+13,3.03E+13,3.02E+13,,,0.612471424,,0.662573913,0.603490838,0.813563987,0.429595382,0.131501493,0.46942119,
3/9/22,,,,,,,,,,459.94,,2.38E+13,3.02E+13,3.02E+13,,,0.597615496,,0.884215097,0.643697786,0.836453637,0.462794616,0.146764131,0.475071835,
3/10/22,,,,,,,,,,458.26,3.85,2.37E+13,3.02E+13,3.02E+13,,13909126031,0.56539176,,0.757527624,0.654301764,0.876574708,0.45935627,0.168625265,0.501725199,
3/11/22,,,,,,,,,,458.26,,2.37E+13,3.02E+13,3.02E+13,,13383080010,0.55579897,,0.670231206,0.648145564,0.892061655,0.456994446,0.118898678,0.433581078,
3/12/22,,,,,,,,,,,,,,,,,0.565412064,,0.735561558,0.585838339,0.87285285,0.820836897,0.124431162,0.355041767,
3/13/22,,,,,,,,,,,,,,,,,0.453386861,,0.714580807,0.599263226,0.923731459,0.440024994,0.165530809,0.490548881,
3/14/22,,,,,,,,,,454.61,,2.37E+13,3.02E+13,3.03E+13,,17438972428,0.535578224,0.518658763,0.719653407,0.6184009,0.810149846,0.493840891,0.138848713,0.549631172,
3/15/22,,,,,,,,,,454.47,,2.38E+13,3.03E+13,3.03E+13,,17787149049,0.543533398,0.564884265,0.710845983,0.646739326,0.810941248,0.450619596,0.129665567,0.384615818,
3/16/22,,,,,,,,,,454.59,,2.38E+13,3.03E+13,3.03E+13,,17985756394,0.598805697,0.528578741,0.890092567,0.592600644,0.789185703,0.352948854,0.141519244,0.47666624,
3/17/22,,,,,,,,,,453.73,4.16,2.38E+13,3.03E+13,3.03E+13,,18112479645,0.626122293,0.57849666,0.730720833,0.614810517,0.864300633,0.405188128,0.213951992,0.477124859,
3/18/22,,,,,,,,,,454.8,,2.38E+13,3.03E+13,3.03E+13,,18447673876,0.589992401,0.551480553,0.636138514,0.70288281,0.864585154,0.376245021,0.168456391,0.460350551,
3/19/22,,,,,,,,,,,,,,,,,0.527806125,0.602674073,0.681492504,0.533452244,0.882528769,0.399101044,0.18953169,0.481900268,
3/20/22,,,,,,,,,,,,,,,,,0.593741725,0.508548643,0.884375801,0.509604806,0.873347632,0.236504599,0.182071141,0.316707614,
3/21/22,,,,,,,,,,450.84,,2.38E+13,3.03E+13,3.03E+13,,21130755194,0.541907258,0.548028067,0.683646985,0.656528402,0.836685012,0.424367467,0.191262037,0.474442579,
3/22/22,,,,,,,,,,449.22,,2.38E+13,3.03E+13,3.03E+13,,19901626247,0.502695466,0.545998736,0.674518384,0.636898185,0.866819588,0.540505689,0.160007025,0.51124569,
3/23/22,,,,,,,,,,451.69,,2.38E+13,3.03E+13,3.03E+13,,16530555146,0.534421161,0.546693447,0.52013692,0.63468183,0.875254925,0.330349983,0.193894074,0.479739173,
3/24/22,,,,,,,,,,450.39,4.42,2.38E+13,3.03E+13,3.03E+13,,14748919068,0.480695473,0.55610359,0.667323022,0.664213964,0.866465285,0.443351533,0.151934347,0.535818852,
3/25/22,,,,,,,,,,447.44,,2.38E+13,3.03E+13,3.03E+13,,11065762675,0.494935933,0.525183726,0.634744918,0.652713979,0.835873872,0.379758639,0.154738184,0.43626735,
3/26/22,,,,,,,,,,,,,,,,,0.543387979,0.57977154,0.535159147,0.570769358,0.866173767,0.409245841,0.137962963,0.538658125,
3/27/22,,,,,,,,,,,,,,,,,0.489740857,0.484469987,0.677882654,0.628584179,0.92038776,0.436758623,0.152591148,0.375100671,
3/28/22,,,,,,,,,,448.08,,2.38E+13,3.03E+13,3.03E+13,,13591883356,0.565815524,0.536827195,0.633423134,0.621282687,0.885830428,0.366921553,0.188438516,0.453951542,
3/29/22,,,,,,,,,,449.32,,2.38E+13,3.03E+13,3.03E+13,,12619639068,0.532227238,0.577377945,0.605730819,0.589444761,0.857870098,0.458650261,0.153298548,0.354244258,
3/30/22,,,,,,,,,,450.44,,2.38E+13,3.03E+13,3.03E+13,,10967967174,0.558229599,0.519113699,0.659719066,0.604500532,0.880913595,0.608951846,0.164822234,0.368654263,
3/31/22,,,,,,,,,,450.7,4.67,2.39E+13,3.04E+13,3.04E+13,6860671759,11622276533,0.535801776,0.504972721,0.723956216,0.622313163,0.847712945,0.486208464,0.164798106,0.413743457,
4/1/22,2.50E+13,287504,6.5,825000,0.33,3.5,59.9,3.6,65.2,449.59,,2.39E+13,3.03E+13,3.03E+13,,14323634415,0.54414452,0.516946724,0.73739001,0.535846613,0.79634678,0.444500872,0.122851304,0.458634407,
4/2/22,,,,,,,,,,,,,,,,,0.572939321,0.510458681,0.828551561,0.59037797,0.868598063,0.426899222,0.164522781,0.470533796,
4/3/22,,,,,,,,,,,,,,,,,0.52962724,0.489434919,0.84062006,0.490622388,0.883231883,0.440731928,0.191723201,0.47475466,
4/4/22,,,,,,,,,,449.37,,2.39E+13,3.04E+13,3.03E+13,,18311312474,0.534156187,0.564356958,0.828784616,0.578597196,0.902218457,0.428120126,0.206163108,0.627946534,
4/5/22,,,,,,,,,,446.01,,2.38E+13,3.03E+13,3.03E+13,,18256307121,0.585815711,0.55966783,0.784714744,0.62423716,0.882632762,0.520052456,0.127417022,0.422236634,
4/6/22,,,,,,,,,,445.27,,2.38E+13,3.03E+13,3.04E+13,,17906762858,0.462421252,0.557159418,0.714302794,0.627071458,0.816395654,0.402706259,0.14285188,0.521074231,
4/7/22,,,,,,,,,,444.75,4.72,2.39E+13,3.04E+13,3.04E+13,,18329212148,0.583865928,0.526113521,0.693966724,0.567077137,0.872469358,0.436992446,0.167835861,0.430050288,
4/8/22,,,,,,,,,,443.1,,2.38E+13,3.04E+13,3.04E+13,,18615167410,0.526520864,0.570993728,0.689317479,0.614077545,0.859670835,0.437341292,0.172567426,0.535869757,
4/9/22,,,,,,,,,,,,,,,,,0.559100526,0.505686288,0.701301671,0.557344799,0.817577914,0.42355289,0.102197739,0.475732551,
4/10/22,,,,,,,,,,,,,,,,,0.467035512,0.541487324,0.636793556,0.624186659,0.908910561,0.370885727,0.221821134,0.354520289,
