words,AMZN_bull,AMZN_bear,AAPL_bull,AAPL_bear,GOOG_bull,GOOG_bear,TSLA_bull,TSLA_bear,MSFT_bull,MSFT_bear,KO_bull,KO_bear,COST_bull,COST_bear,CRM_bull,CRM_bear,NIO_bull,NIO_bear,PYPL_bull,PYPL_bear,DIS_bull,DIS_bear,BA_bull,BA_bear,ZS_bull,ZS_bear,BX_bull,BX_bear,NOC_bull,NOC_bear,NFLX_bull,NFLX_bear,TSM_bull,TSM_bear,META_bull,META_bear,PG_bull,PG_bear
amazon,66357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
read,41633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stock,26937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amzn,25742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inc,24882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,22363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buy,21872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,20766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,20531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price,20268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market,20226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,20108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trading,17529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stocks,17346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
like,16290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week,16223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
next,16206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
get,15376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
via,13508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade,13465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target,13447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prime,13153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,12312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us,12172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
see,12154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
